commit,makeplan_mean_ms,set_pts_mean_ms,execute_mean_ms,total_mean_ms,makeplan_std_ms,set_pts_std_ms,execute_std_ms,total_std_ms
324fc70f,0.3831361998891225,9.282840800187842,23.50848049991328,33.17977070018969,0.4476064445590266,3.256614380884015,9.423203049536797,11.635189693261852
46ce5493,0.2759047001745784,8.22865099999035,19.96057950000249,28.4693031997449,0.2442414041670743,3.0464987333571223,8.260031370831701,10.80157023211724
50c80b8d,0.318821299879346,8.715454299999692,21.32956209989061,30.36844350044703,0.2426704534867032,2.6191471450338133,7.480215211330926,7.230901055379313
8c0fdd72,0.296035499923164,8.966352899915364,21.222122400104126,30.48943390003842,0.21838501597013,3.1704897749339978,8.92904579589426,11.043143360045482
8e877fb6,0.2947180999399279,8.261381699958292,16.888845399989805,25.44932149994565,0.2569446892093899,2.924981487333912,4.469637083548119,5.606705888174997
91c6b7ba,0.2907014997617807,8.661265299997467,19.64388090036664,28.60079539950675,0.2332981643082113,3.680951921740454,7.779399779799513,10.699979023381266
9bb2ff12,0.3085310996539192,8.491989100366482,21.23356800038892,30.03926789970137,0.2570032514401736,2.905705680104377,8.820655627523205,9.04587241925894
d360f7f0,0.2823888000420993,8.811536100438389,17.92539529997157,27.023917000042275,0.2564408624503939,3.7163039270462463,6.7651655809195725,9.9911696235654
d926a87f,0.2757815002041752,8.927214400137018,24.205806700047106,33.41342640032963,0.2212269419118847,2.6895596539288547,8.435853458431652,8.292882552238222
e137ec92,0.2813889999742969,8.603934799793933,25.545266400331457,34.43496419986332,0.2223943320385698,3.126441680631868,10.853986949511512,12.685362595979706
ef3bccb8,0.2727085000515217,8.526841800085094,20.89373099988734,29.69792340009008,0.2233830552819579,3.482482869382957,8.83231731738302,9.32916323625786
d75d7e15,0.27706400000013787,14.852646599998565,53.33556900000076,68.47140429999925,0.2668073765340283,5.286425626048972,1.924584954266422,6.247162966103068
